STUDYID,Theorystandardized_corrected,IVConstruct,IVVariableLabel,IVMean,IVSD,Stakeholdergroup,Stakeholdergroupsubcategory,PerformanceVariableLabel,PerformanceMean,PerformanceSD,PerformanceIVCorrelation,PerformanceIVCorrelation_corrected,Nofobs,Noffirms
bw04jbr,Strategic HRM theories: Configurational view,Personnel policy,prop. hires,0.36,0.23,INV,INV1,Profit per worker,234.69,1160.92,0.001,0.001,28265,7118
bw04jbr,Strategic HRM theories: Configurational view,Personnel policy,prop. hires,0.36,0.23,INV,INV1,Value added per worker,476.28,1346.28,-0.003,-0.003,28265,7118
bw04jbr,Strategic HRM theories: Configurational view,Personnel policy,prop. hires,0.36,0.23,INV,INV1,Value added per worker,476.28,1346.28,-0.003,-0.003,28265,7118
ces06ee,Institutional theory,Keiretsu,Keiretsu,0.75,,SOC,SOC4,Overall environmental management performance,,,-0.02,-0.02,400,400
ces06ee,Resource-based view,Exports,Exports,,,CUS,CUS3,Marketing,,,-0.06,-0.06,400,400
ces06ee,Resource-based view,Physical capital intensity (PCI),PCI,,,CUS,CUS3,Marketing,,,0.02,0.02,400,400
ces06ee,Resource-based view,Exports,Exports,,,EMP,EMP3,HCI,,,-0.07,-0.07,400,400
ces06ee,Resource-based view,Physical capital intensity (PCI),PCI,,,EMP,EMP3,HCI,,,0.27,0.27,400,400
ces06ee,Resource-based view,Exports,Exports,,,INV,INV1,TFP,,,-0.09,-0.09,400,400
ces06ee,Resource-based view,Physical capital intensity (PCI),PCI,,,INV,INV1,TFP,,,0.18,0.18,400,400
ces06ee,Resource-based view,Age,Age,39.35,,SOC,SOC4,Overall environmental management performance,,,0.06,0.06,400,400
ces06ee,Resource-based view,R&D intensity ,R&D,0.01,,SOC,SOC4,Overall environmental management performance,,,0.2,0.2,400,400
cg01aaaj,Resource dependence theory,News Stories,ABIBAD,0.924,0.375,SOC,SOC3,Environmental disclosure,8.11,13.17,0.181,0.181,36,3
cg01aaaj,Resource dependence theory,News Stories,ABIGOOD,1.11,1.25,SOC,SOC3,Environmental disclosure,8.11,13.17,0.376,0.376,36,3
cg01aaaj,Resource dependence theory,News Stories,ABIBAD,0.924,0.375,SOC,SOC5,Social disclosure,3.08,4.88,0.39,0.39,36,3
cg01aaaj,Resource dependence theory,News Stories,ABIGOOD,1.11,1.25,SOC,SOC5,Social disclosure,3.08,4.88,0.749,0.749,36,3
chl08hrm,Agency theory,Foreign-invested/joint ventures,Foreign and JV,0.16,0.36,EMP,EMP1,Commitment,3.39,0.69,0.03,0.03,241,241
chl08hrm,Agency theory,State-owned,State-owned,0.08,0.27,EMP,EMP1,Commitment,3.39,0.69,-0.23,-0.23,241,241
chl08hrm,Agency theory,Foreign-invested/joint ventures,Foreign and JV,0.16,0.36,EMP,EMP3,Collaboration,2.74,0.66,0.02,0.02,241,241
chl08hrm,Agency theory,Foreign-invested/joint ventures,Foreign and JV,0.16,0.36,EMP,EMP3,Compliance,2.73,0.63,-0.02,-0.02,241,241
chl08hrm,Agency theory,State-owned,State-owned,0.08,0.27,EMP,EMP3,Collaboration,2.74,0.66,-0.12,-0.12,241,241
chl08hrm,Agency theory,State-owned,State-owned,0.08,0.27,EMP,EMP3,Compliance,2.73,0.63,0.29,0.29,241,241
chl08hrm,Agency theory,State-owned,State-owned,0.08,0.27,EMP,EMP3,Market,3.27,0.66,-0.21,-0.21,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,CUS,CUS4,Innovation,3.54,0.71,0.34,0.34,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,CUS,CUS4,Quality,3.78,0.74,0.28,0.28,241,241
chl08hrm,Cultural values framework,Collective,Collective,0.23,0.42,EMP,EMP1,Commitment,3.39,0.69,-0.04,-0.04,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,EMP,EMP1,Commitment,3.39,0.69,0.28,0.28,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,EMP,EMP1,Turnover rate,11.86,12.47,0.01,-0.01,241,241
chl08hrm,Cultural values framework,Collective,Collective,0.23,0.42,EMP,EMP3,Collaboration,2.74,0.66,0.09,0.09,241,241
chl08hrm,Cultural values framework,Collective,Collective,0.23,0.42,EMP,EMP3,Compliance,2.73,0.63,0.11,0.11,241,241
chl08hrm,Cultural values framework,Collective,Collective,0.23,0.42,EMP,EMP3,Market,3.27,0.66,0.05,0.05,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,EMP,EMP3,Collaboration,2.74,0.66,0.45,0.45,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,EMP,EMP3,Compliance,2.73,0.63,-0.41,-0.41,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,EMP,EMP3,Market,3.27,0.66,0.25,0.25,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,INV,INV4,Profit growth,21.21,36.53,0.08,0.08,241,241
chl08hrm,Cultural values framework,Chinese structure,Cost,3.3,0.63,INV,INV4,Sales growth,38.39,76.08,-0.2,-0.2,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,CUS,CUS4,Innovation,,,-0.23,-0.23,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,CUS,CUS4,Quality,,,-0.13,-0.13,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,CUS,CUS4,Innovation,,,0.17,0.17,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,CUS,CUS4,Quality,,,0.12,0.12,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,EMP,EMP1,Commitment,3.39,0.69,0,0,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,EMP,EMP1,Turnover rate,,,0.14,-0.14,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,EMP,EMP1,Commitment,,,0.14,0.14,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,EMP,EMP1,Turnover rate,,,-0.1,0.1,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,EMP,EMP3,Collaboration,,,-0.05,-0.05,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,EMP,EMP3,Market,3.27,0.66,0.07,0.07,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,EMP,EMP3,Collaboration,,,0.09,0.09,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,EMP,EMP3,Market,3.27,0.66,0.08,0.08,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,INV,INV4,Profit growth,,,0.03,0.03,241,241
chl08hrm,Institutional theory,Industry,Manufacturing Industry,0.44,0.5,INV,INV4,Sales growth,,,0.01,0.01,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,INV,INV4,Profit growth,,,-0.01,-0.01,241,241
chl08hrm,Institutional theory,Industry,Technology industry,0.35,0.48,INV,INV4,Sales growth,,,-0.09,-0.09,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,CUS,CUS4,Innovation,,,0.07,0.07,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,CUS,CUS4,Quality,,,0.29,0.29,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,EMP,EMP1,Commitment,,,0.02,0.02,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,EMP,EMP1,Turnover rate,,,0.11,-0.11,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,EMP,EMP3,Collaboration,,,-0.06,-0.06,241,241
chl08hrm,Resource-based view,Firm Size,Firm size,2.74,0.68,EMP,EMP3,Market,3.27,0.66,-0.1,-0.1,241,241
chl08hrm,Strategic HRM theories: Configurational view,Collaboration-based HR configuration,Collaboration-based HR configuration,2.74,0.66,EMP,EMP1,Turnover rate,11.86,12.47,-0.15,0.15,241,241
chl08hrm,Strategic HRM theories: Configurational view,Commitment-based HR configuration,Commitment-based HR configuration,3.39,0.69,EMP,EMP1,Turnover rate,11.86,12.47,-0.18,0.18,241,241
chl08hrm,Strategic HRM theories: Configurational view,Compliance-based HR configuration,Compliance-based HR configuration,2.73,0.63,EMP,EMP1,Turnover rate,11.86,12.47,0.19,-0.19,241,241
chl08hrm,Strategic HRM theories: Configurational view,Market-based HR configuration,Market-based HR configuration,3.27,0.66,EMP,EMP1,Turnover rate,11.86,12.47,-0.14,0.14,241,241
chl08hrm,Strategic HRM theories: Configurational view,Collaboration-based HR configuration,Collaboration-based HR configuration,2.74,0.66,INV,INV3,Overall performance,3.67,0.57,0.43,0.43,241,241
chl08hrm,Strategic HRM theories: Configurational view,Commitment-based HR configuration,Commitment-based HR configuration,3.39,0.69,INV,INV3,Overall performance,3.67,0.57,0.52,0.52,241,241
chl08hrm,Strategic HRM theories: Configurational view,Compliance-based HR configuration,Compliance-based HR configuration,2.73,0.63,INV,INV3,Overall performance,3.67,0.57,-0.52,-0.52,241,241
chl08hrm,Strategic HRM theories: Configurational view,Market-based HR configuration,Market-based HR configuration,3.27,0.66,INV,INV3,Overall performance,3.67,0.57,0.43,0.43,241,241
chl08hrm,Strategic HRM theories: Configurational view,Collaboration-based HR configuration,Collaboration-based HR configuration,2.74,0.66,INV,INV4,Profit growth,21.21,36.53,-0.03,-0.03,241,241
chl08hrm,Strategic HRM theories: Configurational view,Collaboration-based HR configuration,Collaboration-based HR configuration,2.74,0.66,INV,INV4,Sales growth,38.39,76.08,0.09,0.09,241,241
chl08hrm,Strategic HRM theories: Configurational view,Commitment-based HR configuration,Commitment-based HR configuration,3.39,0.69,INV,INV4,Profit growth,21.21,36.53,0.01,0.01,241,241
chl08hrm,Strategic HRM theories: Configurational view,Commitment-based HR configuration,Commitment-based HR configuration,3.39,0.69,INV,INV4,Sales growth,38.39,76.08,0.01,0.01,241,241
chl08hrm,Strategic HRM theories: Configurational view,Compliance-based HR configuration,Compliance-based HR configuration,2.73,0.63,INV,INV4,Profit growth,21.21,36.53,-0.14,-0.14,241,241
chl08hrm,Strategic HRM theories: Configurational view,Compliance-based HR configuration,Compliance-based HR configuration,2.73,0.63,INV,INV4,Sales growth,38.39,76.08,-0.04,-0.04,241,241
chl08hrm,Strategic HRM theories: Configurational view,Market-based HR configuration,Market-based HR configuration,3.27,0.66,INV,INV4,Profit growth,21.21,36.53,0.14,0.14,241,241
chl08hrm,Strategic HRM theories: Configurational view,Market-based HR configuration,Market-based HR configuration,3.27,0.66,INV,INV4,Sales growth,38.39,76.08,0.04,0.04,241,241
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,CUS,CUS4,Innovation,3.46,0.77,0.52,0.52,451,451
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,CUS,CUS4,Quality,3.73,0.8,0.35,0.35,451,451
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,EMP,EMP3,Bureaucratic,3.64,0.63,0.57,0.57,451,451
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,EMP,EMP3,Inducement,15.11,3.63,-0.5,-0.5,451,451
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,EMP,EMP3,Involvement,18.23,5.64,-0.52,-0.52,451,451
chl09ijhrm,Cultural values framework,Competitive culture,Competitive,3.26,0.66,EMP,EMP3,Supportive,3.25,0.64,0.72,0.72,451,451
chl09ijhrm,Resource-based view,Firm age,Firm age,9.99,7.53,CUS,CUS4,Innovation,3.46,0.77,0.03,0.03,451,451
chl09ijhrm,Resource-based view,Firm age,Firm age,9.99,7.53,CUS,CUS4,Quality,3.73,0.8,0.1,0.1,451,451
chl09ijhrm,Resource-based view,Firm age,Firm age,9.99,7.53,EMP,EMP1,Turnover rate,15.04,18.73,0.1,-0.1,451,451
chl09ijhrm,Resource-based view,Firm characteristics,Years,9.99,7.53,EMP,EMP1,Turnover rate,15.04,18.73,0.1,-0.1,451,451
chl09ijhrm,Resource-based view,Firm age,Firm age,9.99,7.53,EMP,EMP3,Supportive,3.25,0.64,0.06,0.06,451,451
chl09ijhrm,Resource-based view,Firm age,Firm age,9.99,7.53,INV,INV3,Outcome,3.74,0.53,0.06,0.06,451,451
chl09ijhrm,Resource-based view,Firm Size,Firm Size,6.29,1.34,INV,INV3,Outcome,3.74,0.53,0.01,0.01,451,451
chl09ijhrm,Resource-based view,Firm characteristics,Years,9.99,7.53,INV,INV3,Outcome,3.74,0.53,0.06,0.06,451,451
ck99smj,Resource-based view,Firm experience,Age,25.12,16.53,CUS,CUS3,Brand name,18.58,4.21,0,0,376,94
ck99smj,Resource-based view,Interfirm cooperation,Interfirm cooperation,0.33,0.37,CUS,CUS3,Brand name,18.58,4.21,-0.34,-0.34,376,94
ck99smj,Resource-based view,Specific knowledge,Specific knowledge,14.22,3.89,CUS,CUS3,Brand name,18.58,4.21,0.2,0.2,376,94
ck99smj,Resource-based view,Experienced and knowledgeable top management team ,TMT Experience,35.17,24.23,CUS,CUS3,Brand name,18.58,4.21,0.14,0.14,376,94
ck99smj,Resource-based view,Top management team ,TMT Tenure,34.06,30.49,CUS,CUS3,Brand name,18.58,4.21,0.13,0.13,376,94
ck99smj,Resource-based view,Age,Age,25.12,16.53,INV,INV1,Total sales,1098.2,3980.42,-0.07,-0.07,376,94
ck99smj,Resource-based view,Firm experience,Age,25.12,16.53,INV,INV1,ROA,0.05,0.16,0.13,0.13,376,94
ck99smj,Resource-based view,Interfirm cooperation,Interfirm cooperation,0.33,0.37,INV,INV1,ROA,0.05,0.16,-0.26,-0.26,376,94
ck99smj,Resource-based view,Specific knowledge,Specific knowledge,14.22,3.89,INV,INV1,Total sales,1098.2,3980.42,-0.1,-0.1,376,94
ck99smj,Resource-based view,Specific knowledge,Specific knowledge,14.22,3.89,INV,INV1,ROA,,,-0.22,-0.22,376,94
ck99smj,Resource-based view,Top management team  ,TMT  Experience,35.17,24.23,INV,INV1,Total sales,1098.2,3980.42,-0.17,-0.17,376,94
ck99smj,Resource-based view,Experienced and knowledgeable top management team ,TMT Experience,35.17,24.23,INV,INV1,ROA,0.05,0.16,0.16,0.16,376,94
ck99smj,Resource-based view,Top management team ,TMT Tenure,34.06,30.49,INV,INV1,ROA,0.05,0.16,0.32,0.32,376,94
ck99smj,Resource-based view,Top management team ,TMT Tenure,34.06,30.49,INV,INV1,Total sales,1098.2,3980.42,0.19,0.19,376,94
ck99smj,Resource-based view,Firm experience,Age,25.12,16.53,INV,INV2,Market-to-Book,2.24,2.07,-0.27,-0.27,376,94
ck99smj,Resource-based view,Age,Age,25.12,16.53,INV,INV2,Market-to-Book,,,-0.27,-0.27,376,94
ck99smj,Resource-based view,Interfirm cooperation,Interfirm cooperation,0.33,0.37,INV,INV2,Market-to-Book,2.24,2.07,0.06,0.06,376,94
ck99smj,Resource-based view,Specific knowledge,Specific knowledge,14.22,3.89,INV,INV2,Market-to-Book,,,-0.25,-0.25,376,94
ck99smj,Resource-based view,Top management team  ,TMT  Experience,35.17,24.23,INV,INV2,Market-to-Book,,,-0.01,-0.01,376,94
ck99smj,Resource-based view,Experienced and knowledgeable top management team ,TMT Experience,35.17,24.23,INV,INV2,Market-to-Book,2.24,2.07,-0.01,-0.01,376,94
ck99smj,Resource-based view,Top management team ,TMT Tenure,34.06,30.49,INV,INV2,Market-to-Book,,,-0.07,-0.07,376,94
ck99smj,Resource-based view,Age,Age,25.12,16.53,INV,INV4,Growth,41.58,86.55,-0.25,-0.25,376,94
ck99smj,Resource-based view,Firm experience,Age,25.12,16.53,INV,INV4,Sales growth,41.58,86.55,-0.25,-0.25,376,94
ck99smj,Resource-based view,Interfirm cooperation,Interfirm cooperation,0.33,0.37,INV,INV4,Sales growth,41.58,86.55,-0.02,-0.02,376,94
ck99smj,Resource-based view,Specific knowledge,Specific knowledge,14.22,3.89,INV,INV4,Growth,41.58,86.55,-0.06,-0.06,376,94
ck99smj,Resource-based view,Top management team  ,TMT  Experience,35.17,24.23,INV,INV4,Growth,41.58,86.55,-0.11,-0.11,376,94
ck99smj,Resource-based view,Experienced and knowledgeable top management team ,TMT Experience,35.17,24.23,INV,INV4,Sales growth,41.58,86.55,-0.11,-0.11,376,94
ck99smj,Resource-based view,Top management team ,TMT Tenure,34.06,30.49,INV,INV4,Growth,41.58,86.55,-0.23,-0.23,376,94
ckc10ajm,Resource-based view,R&D,R&D,0.016,0.02,INV,INV1,ROA,,,0.162,0.162,1222,174.5714286
ckc10ajm,Resource-based view,R&D,R&D,0.016,0.02,INV,INV2,ROE,,,0.087,0.087,1222,174.5714286
ckc10ajm,Resource-based view,R&D,R&D,0.016,0.02,INV,INV2,Tobin's Q,,,0.347,0.347,1222,174.5714286
cl09etp,Resource-based view,The grafting of new management team members ,Added team members,0.75,1.33,EMP,EMP1,Vicarious/search and notice,3.02,5.92,0.4,0.4,124,124
cl09etp,Resource-based view,Congenital Learning,Education,8.29,5.21,EMP,EMP1,Vicarious/search and notice,3.02,5.92,0.19,0.19,124,124
cl09etp,Resource-based view,Congenital Learning,Industry experience,25.46,24.9,EMP,EMP1,Vicarious/search and notice,3.02,5.92,0.04,0.04,124,124
cl09etp,Resource-based view,The grafting of new management team members ,Added team members,0.75,1.33,INV,INV4,Venture performance,0.05,0.2,0.15,0.15,124,124
cl09etp,Resource-based view,Congenital Learning,Education,8.29,5.21,INV,INV4,Venture performance,0.05,0.2,0.2,0.2,124,124
cl09etp,Resource-based view,Congenital Learning,Industry experience,25.46,24.9,INV,INV4,Venture performance,0.05,0.2,0.18,0.18,124,124
cl09etp,Resource-based view,Vicarious/search and notice,Vicarious/search and notice,3.02,3.02,INV,INV4,Venture performance,0.05,0.2,0.37,0.37,124,124
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,CUS,CUS4,Concern for customers,4.94,0.69,0.39,0.39,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,CUS,CUS4,Customer knowledge,3.58,0.28,0.29,0.29,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP1,Helping behavior,5.58,0.66,0.34,0.34,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP3,Concern for employees,3.52,0.45,0.38,0.38,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP3,HPWS-compensation,3.89,0.56,0.77,0.77,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP3,HPWS-involvement,3.7,0.47,0.55,0.55,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP3,HPWS-performance,4.12,0.5,0.75,0.75,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP3,HPWS-training,3.03,1.58,0.72,0.72,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,EMP,EMP4,HPWS-caring,3.96,0.57,0.69,0.69,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,INV,INV3,Market performance,3.27,0.79,0.25,0.25,133,133
cl10pp,Strategic HRM theories: Configurational view,HPWS,HPWS,3.84,0.48,INV,INV3,Service performance,5.82,0.75,0.43,0.43,133,133
cs06amj,Institutional theory,Firm Size,Firm size,501.85,461.33,EMP,EMP3,Knowledge/exchange combination,,,-0.14,-0.14,1050,136
cs06amj,Institutional theory,Firm Size,Firm size,501.85,461.33,EMP,EMP3,shared codes and language,3.26,0.71,0.1,0.1,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,CUS,CUS4,Revenue from new products and services,0.36,0.26,0.39,0.39,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,EMP,EMP2,Knowledge exchange/combination,3.69,0.68,0.46,0.46,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,EMP,EMP3,Climate for cooperation,3.7,0.72,0.5,0.5,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,EMP,EMP3,Climate for trust,3.63,0.63,0.47,0.47,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,EMP,EMP3,Shared codes and language,3.26,0.71,0.42,0.42,1050,136
cs06amj,Strategic HRM theories: Configurational view,Commitment-based HR practices,Commitment-based HR practices,3.51,0.63,INV,INV4,One-year sales growth,0.28,0.32,0.38,0.38,1050,136
ct05crr,Resource-based view,Financial strength,Financial strength,3.43,1.08,INV,INV1,Profitability,3.37,1,0.571,0.571,86,86
ct05crr,Resource-based view,Market Share,Market Share,3.38,0.9,INV,INV1,Profitability,3.37,1,0.43,0.43,86,86
ct05crr,Resource-based view,Accumulation of customers’ orders (ACO),Accumulation of customers’ orders (ACO),3.33,0.83,INV,INV4,Firm's growth,3.3,0.96,0.583,0.583,86,86
ct05crr,Resource-based view,Financial strength,Financial strength,3.43,1.08,INV,INV4,Firm's growth,3.3,0.96,0.214,0.214,86,86
ctsm08jem,Dynamic capabilities,Strategic proactivity,Strategic proactivity,2.24,1.42,EMP,EMP3,Shared vision,4.49,0.75,-0.065,-0.065,108,108
ctsm08jem,Dynamic capabilities,Strategic proactivity,Strategic proactivity,2.24,1.42,INV,INV3,Performance,2.9,0.76,-0.003,0,108,108
ctsm08jem,Dynamic capabilities,Strategic proactivity,Strategic proactivity,2.24,1.42,SOC,SOC3,Eco-efficient practices,4.21,0.94,0.11,0.11,108,108
ctsm08jem,Dynamic capabilities,Strategic proactivity,Strategic proactivity,2.24,1.42,SOC,SOC3,Innovative preventive practices,2.73,0.96,0.293,0.293,108,108
ctsm08jem,Stakeholder theory,Stakeholder management,Stakeholder management,11.93,3.36,EMP,EMP3,Shared vision,4.49,0.75,0.076,0.076,108,108
ctsm08jem,Stakeholder theory,Stakeholder management,Stakeholder management,11.93,3.36,INV,INV3,Performance,2.9,0.76,0.087,0.087,108,108
ctsm08jem,Stakeholder theory,Stakeholder management,Stakeholder management,11.93,3.36,SOC,SOC3,Eco-efficient practices,4.21,0.94,0.067,0.067,108,108
ctsm08jem,Stakeholder theory,Stakeholder management,Stakeholder management,11.93,3.36,SOC,SOC3,Innovative preventive practices,2.73,0.96,0.324,0.324,108,108
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),,0.545,CUS,CUS4,Product,,1,0.615,0.615,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),,0.545,EMP,EMP3,Diversity,,1,0.47,0.47,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),,0.545,EMP,EMP3,Employee,,1,0.589,0.589,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),0,0.545,INV,INV1,ROA,0.005,0.057,0.048,0.048,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),0,0.545,INV,INV2,Tobin's Q,0.126,1.368,0.148,0.148,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),,0.545,SOC,SOC2,Community,,1,0.461,0.461,4113,518
cw09smj,Stakeholder theory,Stakeholder relations,Stakeholder relations (aggregate),,0.545,SOC,SOC4,Environment,,1,0.526,0.526,4113,518
cys14jcp,Institutional theory,Firm size,Firm size, ,,SOC,SOC3,Eco-organizational innovation,,,0.06,0.06,121,121
cys14jcp,Institutional theory,Firm size,Firm size, ,,SOC,SOC3,Eco-process innovation,,,0.18,0.18,121,121
cys14jcp,Institutional theory,Firm size,Firm size, ,,SOC,SOC3,Eco-product innovation,,,0.17,0.17,121,121
cys14jcp,Resource-based view,Firm age,Firm age,,,INV,INV3,Business performance,,,0.35,0.35,121,121
d00jom,Resource-based view,Market share,Market Share of Deposits,0.02,0.06,CUS,CUS3,Coefficient of media favorableness,,,-0.12,-0.12,265,121
d00jom,Resource-based view,Market share,Market Share of Deposits,0.02,0.06,INV,INV1,Relative ROA,,,-0.05,-0.05,265,121
d03jom,Resource-based view,Marketing competence,Ad/Sales,0.069,0.06,CUS,CUS4,Research and development expenditures,0.96,0.03,-0.363,-0.363,98,14
d03jom,Resource-based view,Regulatory competencies,Approval,0.847,0.91,CUS,CUS4,Research and development expenditures,0.96,0.03,0.029,0.029,98,14
d03jom,Resource-based view,Imitability,Imitability,0,0.97,CUS,CUS4,Research and development expenditures,0.96,0.03,-0.12,-0.12,98,14
d03jom,Resource-based view,Technological competencies,Techcomp,0,0.95,CUS,CUS4,Research and development expenditures,0.96,0.03,-0.14,-0.14,98,14
d03jom,Resource-based view,Marketing competence,Ad/Sales,0.069,0.06,INV,INV1,ROA,13.634,5.76,-0.13,-0.13,98,14
d03jom,Resource-based view,Firm age,Age,96.571,30.07,INV,INV1,ROA,13.634,5.76,-0.097,-0.097,98,14
d03jom,Resource-based view,Regulatory competencies,Approval,0.847,0.91,INV,INV1,ROA,13.634,5.76,0.2,0.2,98,14
d03jom,Resource-based view,Imitability,Imitability,0,0.97,INV,INV1,ROA,13.634,5.76,-0.092,-0.092,98,14
d03jom,Resource-based view,Total number of patents,Patents,100.286,50.07,INV,INV1,ROA,13.634,5.76,-0.117,-0.117,98,14
d03jom,Resource-based view,Technological competencies,Techcomp,,0.95,INV,INV1,ROA,13.634,5.76,0.075,0.075,98,14
d03jom,Resource-based view,Marketing competence,Ad/Sales,0.069,0.06,INV,INV2,Market-to-Book value,5.399,3.41,-0.013,-0.013,98,14
d03jom,Resource-based view,Firm age,Age,96.571,30.07,INV,INV2,Market-to-Book value,5.399,3.41,0.095,0.095,98,14
d03jom,Resource-based view,Regulatory competencies,Approval,0.847,0.91,INV,INV2,Market-to-Book value,5.399,3.41,0.118,0.118,98,14
d03jom,Resource-based view,Imitability,Imitability,0,0.97,INV,INV2,Market-to-Book value,5.399,3.41,-0.218,-0.218,98,14
d03jom,Resource-based view,Total number of patents,Patents,100.286,50.07,INV,INV2,Market-to-Book value,5.399,3.41,0.007,0.007,98,14
d03jom,Resource-based view,Technological competencies,Techcomp,,0.95,INV,INV2,Market-to-Book value,5.399,3.41,-0.128,-0.128,98,14
dc05jms,Institutional theory,Isomorphism,Isomorphism,-7.71,3.08,CUS,CUS3,Financial reputation,0.76,0.24,0.28,0.28,265,96
dc05jms,Institutional theory,Isomorphism,Isomorphism,-7.71,3.08,CUS,CUS3,Public reputation,0.22,0.37,0.13,0.13,265,96
dc05jms,Institutional theory,Isomorphism,Isomorphism,-7.71,3.08,INV,INV1,ROA,0.01,0.01,0.55,0.55,265,96
dc05jms,Resource-based view,Prior industry experience ,Age,52.67,32.73,CUS,CUS3,Financial reputation,0.76,0.24,-0.03,-0.03,265,96
dc05jms,Resource-based view,Prior industry experience ,Age,52.67,32.73,CUS,CUS3,Public reputation,0.22,0.37,-0.14,-0.14,265,96
dc05jms,Resource-based view,Firm age,Firm age,50.23,33.6,CUS,CUS3,Public Reputation,0.22,0.37,-0.07,-0.07,265,96
dc05jms,Resource-based view,Prior industry experience ,Age,52.67,32.73,INV,INV1,ROA,0.01,0.01,0.04,0.04,265,96
dd96amj,Agency theory,Holidng company ownership,Holidng company,0.53,0.5,CUS,CUS4,Innovation,,,0.24,0.24,114,114
dd96amj,Agency theory,Holidng company ownership,Holidng company,0.53,0.5,EMP,EMP1,Participation,,,-0.04,-0.04,114,114
